departamento,codigo_departamento,municipio,codigo_municipio,poblacion,fecha,numero_casos,Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
QUETZALTENANGO,9,FLORES COSTA CUCA,922,23851,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
HUEHUETENANGO,13,SAN PEDRO SOLOMA,1308,61547,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
EL PROGRESO,2,SAN ANTONIO LA PAZ,208,22012,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
SUCHITEPEQUEZ,10,SAN PABLO JOCOPILAS,1009,22048,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
BAJA VERAPAZ,15,SALAMA,1501,70066,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
SAN MARCOS,12,CATARINA,1216,32104,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
QUETZALTENANGO,9,LA ESPERANZA,923,24199,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
SAN MARCOS,12,AYUTLA,1217,45434,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
SAN MARCOS,12,PAJAPITA,1222,23021,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
SAN MARCOS,12,SAN LORENZO,1229,13803,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
CHIMALTENANGO,4,SAN ANDRES ITZAPA,413,34591,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
SANTA ROSA,6,CUILAPA,601,46489,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
SAN MARCOS,12,SAN RAFAEL PIE DE LA CUESTA,1211,18128,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
JUTIAPA,22,MOYUTA,2214,50348,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
JUTIAPA,22,SANTA CATARINA MITA,2203,30812,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
SANTA ROSA,6,PUEBLO NUEVO VIÑAS,613,29285,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
RETALHULEU,11,EL ASINTAL,1109,42601,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
IZABAL,18,LIVINGSTON,1802,79360,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
EL PROGRESO,2,SANARATE,207,41997,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
SANTA ROSA,6,BARBERENA,602,60376,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
SAN MARCOS,12,SAN PABLO,1219,51253,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
EL PROGRESO,2,GUASTATOYA,201,27001,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
SACATEPEQUEZ,3,SAN MIGUEL DUEÑAS,313,15231,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
ESCUINTLA,5,PUERTO DE SAN JOSE,509,66314,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
SAN MARCOS,12,TAJUMULCO,1209,62329,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
HUEHUETENANGO,13,CHIANTLA,1302,91954,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
QUETZALTENANGO,9,SAN JUAN OSTUNCALCO,909,60791,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
RETALHULEU,11,SAN ANDRES VILLA SECA,1106,55133,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
PETEN,17,SAN BENITO,1703,52439,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
SACATEPEQUEZ,3,PASTORES,303,19389,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
SAN MARCOS,12,LA BLANCA,1230,33764,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
SACATEPEQUEZ,3,SAN ANTONIO AGUAS CALIENTES,315,12438,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
ZACAPA,19,RIO HONDO,1903,23030,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
JALAPA,21,MATAQUESCUINTLA,2107,45870,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
TOTONICAPAN,8,SAN FRANCISCO EL ALTO,803,64224,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
SACATEPEQUEZ,3,JOCOTENANGO,302,23160,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
CHIMALTENANGO,4,ACATENANGO,411,28043,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
CHIMALTENANGO,4,PARRAMOS,414,19693,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
SAN MARCOS,12,COMITANCILLO,1204,79867,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
QUICHE,14,CHICAMAN,1419,42342,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
ALTA VERAPAZ,16,COBAN,1601,224109,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
SACATEPEQUEZ,3,ALOTENANGO,314,27787,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
SOLOLA,7,SAN JUAN LA LAGUNA,717,13123,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
SAN MARCOS,12,TEJUTLA,1210,43512,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
PETEN,17,LAS CRUCES,1713,37915,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
ESCUINTLA,5,SAN VICENTE PACAYA,512,17923,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
QUETZALTENANGO,9,ZUNIL,916,15414,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
SUCHITEPEQUEZ,10,SAN FRANCISCO ZAPOTITLAN,1003,24289,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
SUCHITEPEQUEZ,10,SANTO DOMINGO SUCHITEPEQUEZ,1006,48188,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
ALTA VERAPAZ,16,SAN JUAN CHAMELCO,1610,60355,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
CHIMALTENANGO,4,ZARAGOZA,415,28473,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
ESCUINTLA,5,LA GOMERA,507,51024,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
SUCHITEPEQUEZ,10,SANTO TOMAS LA UNION,1017,12569,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
ESCUINTLA,5,SIQUINALA,504,25677,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
QUETZALTENANGO,9,OLINTEPEQUE,903,38219,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
SUCHITEPEQUEZ,10,RIO BRAVO,1020,30776,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
ALTA VERAPAZ,16,SANTA CRUZ VERAPAZ,1602,34981,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
ALTA VERAPAZ,16,TACTIC,1604,41224,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
IZABAL,18,MORALES,1804,106156,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
QUETZALTENANGO,9,CANTEL,914,45229,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
SUCHITEPEQUEZ,10,SAMAYAC,1008,26350,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
SUCHITEPEQUEZ,10,SANTA BARBARA,1015,27567,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
SANTA ROSA,6,SANTA ROSA DE LIMA,603,21088,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
QUETZALTENANGO,9,SAN CARLOS SIJA,904,34866,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
SUCHITEPEQUEZ,10,PATULUL,1014,41984,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
JALAPA,21,JALAPA,2101,188522,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
RETALHULEU,11,CHAMPERICO,1107,38006,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
HUEHUETENANGO,13,TECTITAN,1321,11635,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
QUICHE,14,IXCAN,1420,107265,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
TOTONICAPAN,8,SAN CRISTOBAL TOTONICAPAN,802,42354,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
